"数据编号";"数据采集时间";"传感器编号";"监测数值";"图像存储路径";"数据状态"
50071;"2025-12-31 09:00:00.500";1021;0.0;"/data/images/area13/20251231/090000_1021.jpg";"有效"
50072;"2025-12-31 09:01:00.500";1021;0.0;"/data/images/area13/20251231/090100_1021.jpg";"有效"
50073;"2025-12-31 09:02:00.500";1021;0.0;"/data/images/area13/20251231/090200_1021.jpg";"有效"
50074;"2025-12-31 09:03:00.500";1021;0.0;"/data/images/area13/20251231/090300_1021.jpg";"有效"
50075;"2025-12-31 09:04:00.500";1021;0.0;"/data/images/area13/20251231/090400_1021.jpg";"无效"
50076;"2025-12-31 09:05:00.500";1021;0.0;"/data/images/area13/20251231/090500_1021.jpg";"有效"
50077;"2025-12-31 11:20:00.000";1022;2.0;"";"有效"
50078;"2025-12-31 11:21:00.000";1022;2.1;"";"有效"
50079;"2025-12-31 11:22:00.000";1022;2.05;"";"有效"
50080;"2025-12-31 11:23:00.000";1022;-0.001;"";"有效"
50081;"2025-12-31 11:24:00.000";1022;70.0;"";"无效"
50082;"2025-12-31 12:00:00.000";1023;30.0;"";"有效"
50083;"2025-12-31 12:01:00.000";1023;29.9;"";"有效"
50084;"2025-12-31 12:02:00.000";1023;29.8;"";"有效"
50085;"2025-12-31 12:03:00.000";1023;100.0;"";"有效"
50086;"2025-12-31 12:04:00.000";1023;0.0;"";"有效"
50087;"2025-12-31 12:05:00.000";1023;-5.0;"";"无效"
50088;"2025-12-31 15:30:00.000";1024;3.7;"";"有效"
50089;"2025-12-31 15:31:00.000";1024;3.65;"";"有效"
50090;"2025-12-31 15:32:00.000";1024;0.0;"";"有效"
50091;"2025-12-31 15:33:00.000";1024;-1.0;"";"无效"
50092;"2025-12-31 15:34:00.000";1024;999.999;"";"无效"
